sample_id,X1_Soft_Content,X2_DA_Content,X3_Hard_Content,X4_R_Ratio,X5_Add_Crosslink,DA_Linker_Type,Network_Topology,Add_Crosslinker_Flag,Polyol_Class,Iso_Class,Extender_Class,Soft_Mw,Constraint_Factor,Hard_Symmetry,Soft_Cryst,Synergy_Feature,poly_tem,strain_rate,healing_temperature,healing_time,tensile_strength,elongation,healing_eff
TCPUA-E-15%,0.3442,0.2863,0.3696,0.3388,0,2,0,0,1,1,0,1000,0.0004,1,1,0.3442,0,0,0,0,30.89,142.78,
TCPUA-E-20%,0.3238,0.2693,0.4069,0.306,0,2,0,0,1,1,0,1000,0.0004,1,1,0.3238,100,0,0,0,28.04,132.68,
DA-PU,0.7203,0.0995,0.1802,0.8,0,1,1,0,0,1,0,2000,0.0001,1,1,0.7203,80,0,0,7,33.7,500,
DA-PU-PTMG1000,0.5336,0.1993,0.2671,0.5714,0,1,0,0,0,1,0,1000,0.0003,1,1,0.5336,60,50,120,3,25.1,565,85
DA-PU-PTMG-1400,0.6157,0.1642,0.2201,0.5714,0,1,0,0,0,1,0,1400,0.0002,1,1,0.6157,60,50,120,3,22.3,641,70
DA-PU-PTMG-2000,0.6959,0.1299,0.1742,0.5714,0,1,0,0,0,1,0,2000,0.0001,1,1,0.6959,60,50,120,3,13.3,775,64
TDI-PUR-DA1,0.6894,0.1905,0.1201,0.5,0,1,0,0,0,1,0,2000,0.0001,0,0,0,60,25,80,24,5.28,339,62
TDI-PUR-DA2,0.7114,0.1647,0.1239,0.5333,0,1,0,0,0,1,0,2000,0.0001,0,0,0,60,25,80,24,3.65,345,58
TDI-PUR-DA3,0.7348,0.1372,0.128,0.5714,0,1,0,0,0,1,0,2000,0.0001,0,0,0,60,25,80,24,1.96,352,54
TDI-PUR-DA4,0.7598,0.1078,0.1323,0.6154,0,1,0,0,0,1,0,2000,0.0001,0,0,0,60,25,80,24,0.91,358,53
IPDI-PUA-DA1,0.6673,0.1844,0.1483,0.5,0,1,0,0,0,0,0,2000,0.0001,0,0,0,60,25,80,24,4.68,392,71
IPDI-PUA-DA2,0.6879,0.1592,0.1529,0.5333,0,1,0,0,0,0,0,2000,0.0001,0,0,0,60,25,80,24,3.23,405,67
IPDI-PUA-DA3,0.7097,0.1325,0.1578,0.5714,0,1,0,0,0,0,0,2000,0.0001,0,0,0,60,25,80,24,1.84,412,63
IPDI-PUA-DA4,0.733,0.104,0.163,0.6154,0,1,0,0,0,0,0,2000,0.0001,0,0,0,60,25,80,24,0.88,421,61
DA-SM-PU-0,0.7573,0.0743,0.1684,0.6667,0,2,0,0,1,0,0,2000,0.0001,0,1,0,75,50,120,1,15,680,
DA-SM-PU-1,0.7275,0.1107,0.1617,0.6098,0,2,0,0,1,0,0,2000,0.0001,0,1,0,75,50,120,1,17.5,905,71.4
DA-SM-PU-2,0.6825,0.1658,0.1517,0.5333,0,2,0,0,1,0,0,2000,0.0001,0,1,0,75,50,120,1,20.2,1120,74.8
DA-SM-PU-3,0.6607,0.1924,0.1469,0.5,0,2,0,0,1,0,0,2000,0.0001,0,1,0,75,50,120,1,25.1,1364,99.1
MPA,0.5113,0.1418,0.347,0.75,0,2,0,0,0,1,0,1000,0.0003,0,0,0,60,50,90,3,9.65,457.52,73.57
HTK-PU（凝胶，没有软段）,0,0.2711,0.7289,0.8,0,2,0,0,0,0,0,0,0,0,0,0,70,50,90,12,9.34,1.13,67.56
ITB-PU,0.3685,0.4677,0.1638,0.3333,0,1,1,0,0,0,0,1000,0.0002,0,0,0,70,50,80,12,13.21,25.27,80
PU-BDO,0.6287,0,0.3713,1,0,0,0,0,1,1,0,1000,0.0004,1,1,0.6287,65,50,0,0,12,533,
PU-BDO-2,0.5113,0.2329,0.2559,0.6667,0,1,0,0,1,1,0,1000,0.0003,1,1,0.5113,60,50,120,48,25,440,80
FPU,0.6568,0.1144,0.2288,1,0,1,0,0,0,1,0,1000,0.0002,0,1,0,60,25,0,0,12.3,546,
DA-PU-TDI-FDO-0.25,0.6203,0.1636,0.2161,0.8889,0,1,1,0,0,1,0,1000,0.0002,0,1,0,60,25,60,48,12.7,412,94
DA-PU-TDI-FDO-0.5,0.5876,0.2077,0.2047,0.8,0,1,1,0,0,1,0,1000,0.0002,0,1,0,60,25,60,48,14.2,356,92
DA-PU-TDI-FDO-0.75,0.5583,0.2473,0.1945,0.7273,0,1,1,0,0,1,0,1000,0.0002,0,1,0,60,25,60,48,14.8,254,92
DA-PU-TDI-FDO-1,0.5317,0.2831,0.1852,0.6667,0,1,1,0,0,1,0,1000,0.0002,0,1,0,60,25,60,48,15.6,162,90
FAm-DA-PU,0.6519,0.1334,0.2147,0.8,0,1,0,0,0,0,0,1662.963,0.0001,0,0,0,60,500,110,10,8.56,310,81.6
L-DAPU-1,0.579,0.2923,0.1287,0.381,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,60,16,3.68,820,76
L-DAPU-2,0.5875,0.2819,0.1306,0.3914,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,60,16,7.2,667,79
L-DAPU-3,0.5944,0.2735,0.1321,0.4,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,60,16,9.66,533,81.1
L-DAPU-4,0.588,0.2813,0.1307,0.3922,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,60,16,8.95,540,78
L-DAPU-5,0.5817,0.289,0.1293,0.3846,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,60,16,6.07,650,73
C-DAPU-1,0.535,0.346,0.1189,0.3338,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,0,0,8.86,780,
C-DAPU-2,0.5246,0.3588,0.1166,0.3226,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,0,0,11.46,733,
C-DAPU-3,0.5145,0.3711,0.1144,0.3121,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,0,0,9.32,820,
C-DAPU-4,0.5048,0.383,0.1122,0.3023,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,0,0,6.47,650,
C-DAPU-C%-1,0.5277,0.355,0.1173,0.3252,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,0,0,12.98,600,
C-DAPU-C%-2,0.5246,0.3588,0.1166,0.3226,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,0,0,13.64,567,
C-DAPU-C%-3,0.5215,0.3626,0.1159,0.32,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,60,16,14.86,466,57.8
C-DAPU-C%-4,0.5185,0.3663,0.1153,0.3175,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,0,0,16.62,280,
C-DAPU-C%-5,0.5155,0.3699,0.1146,0.315,0,1,0,0,1,0,0,2000,0.0001,0,0,0,60,25,0,0,17.12,200,
"PU-DA-FGE-FA+1,8-BMI",0.3873,0.4405,0.1722,0.4,0,1,0,0,0,0,0,1000,0.0002,0,1,0,70,2,70,4,4.2,305.59,96.74
DA-PU-BMImain_chain-0,0.5253,0.2,0.2747,0.767,0,2,0,0,0,1,0,2000,0.0001,1,1,0.5253,65,50,180,20,48.9,853,
DA-PU-BMImain_chain-25,0.4987,0.2404,0.2608,0.696,0,2,0,0,0,1,0,2000,0.0001,1,1,0.4987,65,50,180,20,49.1,612,
DA-PU-BMImain_chain-50,0.4747,0.277,0.2483,0.637,0,2,0,0,0,1,0,2000,0.0001,1,1,0.4747,65,50,180,20,42,448,
DA-PU-BMImain_chain-75,0.453,0.3101,0.2369,0.5872,0,2,0,0,0,1,0,2000,0.0001,1,1,0.453,65,50,180,20,40,339,
DA-PU-BMImain_chain-100,0.433,0.3405,0.2265,0.5446,0,2,0,0,0,1,0,2000,0.0001,1,1,0.433,65,50,180,20,50.3,304,60
PU-BDO-UP,0.5254,0,0.4746,0.4428,0,0,0,0,0,1,0,2000,0.0002,1,1,0.5254,65,50,180,20,49.9,998,
PU-BDO-A,0.772,0,0.228,1,0,0,0,0,0,1,0,2000,0.0001,1,0,0,75,50,120,1,0.63,248,53
PU-DA-PPG-R1.5,0.7169,0.1486,0.1346,0.4615,0,1,0,0,0,1,0,2000,0.0001,1,0,0,75,50,120,15,2.4,510,74.2
PU-DA-PPG-R2.0,0.6551,0.181,0.1639,0.5,0,1,0,0,0,1,0,2000,0.0001,1,0,0,75,50,120,15,6.55,444,79.8
PU-DA-PPG-R2.5,0.6031,0.2083,0.1886,0.5263,0,1,0,0,0,1,0,2000,0.0001,1,0,0,75,50,120,15,10.09,247,35.1
PU-DA-PPG-R2.0-hard1,0.4871,0.2692,0.2438,0.5,0,1,0,0,0,1,0,1000,0.0002,1,0,0,75,50,120,15,8.5,7,43.9
PU-DA-PPG-R2.0-hard2,0.5875,0.2164,0.196,0.5,0,1,0,0,0,1,0,1500,0.0001,1,0,0,75,50,120,15,7.57,133,55
PU-DA-PPG-R2.0-SiO2纳米1,0.5874,0.2164,0.1962,0.4975,0,1,0,0,0,1,0,1500,0.0001,1,0,0,75,50,120,15,7.36,415,78.5
PU-DA-PPG-R2.0-SiO2纳米2,0.5872,0.2163,0.1964,0.495,0,1,0,0,0,1,0,1500,0.0001,1,0,0,75,50,120,15,8.55,369,70
PU-DA-PPG-R2.0-SiO2纳米3,0.5871,0.2163,0.1966,0.4926,0,1,0,0,0,1,0,1500,0.0001,1,0,0,75,50,120,15,2.92,198,30.5
PBA-PU-2(热熔胶，自愈合无用),0.5328,0.2944,0.1728,0.5,0,1,0,0,1,0,0,1000,0.0002,1,1,0.5328,80,50,0,0,8.64,240,
PBA-PU-2.3(热熔胶，自愈合无用),0.4979,0.3164,0.1857,0.5169,0,1,0,0,1,0,0,1000,0.0002,1,1,0.4979,80,50,0,0,9.02,193,
PBA-PU-2.5(热熔胶，自愈合无用),0.4771,0.3295,0.1934,0.5263,0,1,0,0,1,0,0,1000,0.0002,1,1,0.4771,80,50,0,0,9.65,145,
PBA-PU-2.7(热熔胶，自愈合无用),0.4579,0.3416,0.2005,0.5347,0,1,0,0,1,0,0,1000,0.0002,1,1,0.4579,80,50,0,0,5.05,151,
PBA-PU-3(热熔胶，自愈合无用),0.4319,0.358,0.2101,0.5455,0,1,0,0,1,0,0,1000,0.0002,1,1,0.4319,80,50,0,0,,,
PTMG-PU-2(热熔胶，自愈合无用),0.5328,0.2944,0.1728,0.5,0,1,0,0,0,0,0,1000,0.0002,1,1,0.5328,80,50,0,0,1.19,403,
PTMG-PU-2.3(热熔胶，自愈合无用),0.4979,0.3164,0.1857,0.5169,0,1,0,0,0,0,0,1000,0.0002,1,1,0.4979,80,50,0,0,3.28,293,
PTMG-PU-2.5(热熔胶，自愈合无用),0.4771,0.3295,0.1934,0.5263,0,1,0,0,0,0,0,1000,0.0002,1,1,0.4771,80,50,0,0,5.06,190,
PTMG-PU-2.7(热熔胶，自愈合无用),0.4579,0.3416,0.2005,0.5347,0,1,0,0,0,0,0,1000,0.0002,1,1,0.4579,80,50,0,0,7.59,96,
DCPU-WYP,0.7916,0.1094,0.099,0.2857,0,1,1,0,0,1,0,1000,0.0001,1,1,0.7916,50,50,55,24,53.91,720,92.4
LPU-WYP-2,0.852,0.0414,0.1066,0.3333,0,1,0,0,0,1,0,1000,0.0001,1,1,0.852,50,50,0,0,0.24,120,
